Tanggal,Harga
2021-03-01,91071.0
2021-03-02,93348.0
2021-03-03,95626.0
2021-03-04,97904.0
2021-03-05,100182.0
2021-03-06,102460.0
2021-03-07,104430.0
2021-03-08,101420.0
2021-03-09,106620.0
2021-03-10,104440.0
2021-03-11,110480.0
2021-03-12,77500.0
2021-03-13,109800.0
2021-03-14,109600.0
2021-03-15,113010.0
2021-03-16,113120.0
2021-03-17,116950.0
2021-03-18,114170.0
2021-03-19,114620.0
2021-03-20,115060.0
2021-03-21,115020.0
2021-03-22,116010.0
2021-03-23,115510.0
2021-03-24,120210.0
2021-03-25,119730.0
2021-03-26,117870.0
2021-03-27,117680.0
2021-03-28,117650.0
2021-03-29,111830.0
2021-03-30,107560.0
2021-03-31,100950.0
2021-04-01,99570.0
2021-04-02,96700.0
2021-04-03,96980.0
2021-04-04,93910.0
2021-04-05,86150.0
2021-04-06,81220.0
2021-04-07,80170.0
2021-04-08,78850.0
2021-04-09,79120.0
2021-04-10,78970.0
2021-04-11,79700.0
2021-04-12,75480.0
2021-04-13,75180.0
2021-04-14,74770.0
2021-04-15,75010.0
2021-04-16,74760.0
2021-04-17,74270.0
2021-04-18,72130.0
2021-04-19,65290.0
2021-04-20,62900.0
2021-04-21,60410.0
2021-04-22,55750.0
2021-04-23,53710.0
2021-04-24,53000.0
2021-04-25,52900.0
2021-04-26,52040.0
2021-04-27,53000.0
2021-04-28,54330.0
2021-04-29,52960.0
2021-04-30,53170.0
2021-05-01,53490.0
2021-05-02,52390.0
2021-05-03,54400.0
2021-05-04,55750.0
2021-05-05,55640.0
2021-05-06,56460.0
2021-05-07,56790.0
2021-05-08,55150.0
2021-05-09,56910.0
2021-05-10,61030.0
2021-05-11,61420.0
2021-05-12,62370.0
2021-05-13,63470.0
2021-05-14,62870.0
2021-05-15,63220.0
2021-05-16,61800.0
2021-05-17,57710.0
2021-05-18,55970.0
2021-05-19,52660.0
2021-05-20,51860.0
2021-05-21,50390.0
2021-05-22,49200.0
2021-05-23,50240.0
2021-05-24,47360.0
2021-05-25,46070.0
2021-05-26,44750.0
2021-05-27,43340.0
2021-05-28,43380.0
2021-05-29,42630.0
2021-05-30,43080.0
2021-05-31,39500.0
2021-06-01,38920.0
2021-06-02,38360.0
2021-06-03,39320.0
2021-06-04,39220.0
2021-06-05,39470.0
2021-06-06,39220.0
2021-06-07,38630.0
2021-06-08,39010.0
2021-06-09,38730.0
2021-06-10,38960.0
2021-06-11,38840.0
2021-06-12,38840.0
2021-06-13,38760.0
2021-06-14,39210.0
2021-06-15,37940.0
2021-06-16,36940.0
2021-06-17,37210.0
2021-06-18,37230.0
2021-06-19,36480.0
2021-06-20,38180.0
2021-06-21,38760.0
2021-06-22,40540.0
2021-06-23,40640.0
2021-06-24,42390.0
2021-06-25,42910.0
2021-06-26,44120.0
2021-06-27,43590.0
2021-06-28,45090.0
2021-06-29,44600.0
2021-06-30,45930.0
2021-07-01,47770.0
2021-07-02,48290.0
2021-07-03,48920.0
2021-07-04,47590.0
2021-07-05,48100.0
2021-07-06,48800.0
2021-07-07,50360.0
2021-07-08,51760.0
2021-07-09,52070.0
2021-07-10,52180.0
2021-07-11,53550.0
2021-07-12,56490.0
2021-07-13,57850.0
2021-07-14,57600.0
2021-07-15,58730.0
2021-07-16,58440.0
2021-07-17,59730.0
2021-07-18,60580.0
2021-07-19,60260.0
2021-07-20,60300.0
2021-07-21,59750.0
2021-07-22,59900.0
2021-07-23,58870.0
2021-07-24,58720.0
2021-07-25,57560.0
2021-07-26,55170.0
2021-07-27,56290.0
2021-07-28,55310.0
2021-07-29,55200.0
2021-07-30,53910.0
2021-07-31,53390.0
2021-08-01,51500.0
2021-08-02,49300.0
2021-08-03,47180.0
2021-08-04,46830.0
2021-08-05,46250.0
2021-08-06,46140.0
2021-08-07,44820.0
2021-08-08,44080.0
2021-08-09,40780.0
2021-08-10,40100.0
2021-08-11,39530.0
2021-08-12,38470.0
2021-08-13,37150.0
2021-08-14,36140.0
2021-08-15,36030.0
2021-08-16,33710.0
2021-08-17,34050.0
2021-08-18,32130.0
2021-08-19,30870.0
2021-08-20,32050.0
2021-08-21,30850.0
2021-08-22,31130.0
2021-08-23,28580.0
2021-08-24,28330.0
2021-08-25,27880.0
2021-08-26,27150.0
2021-08-27,29350.0
2021-08-28,26870.0
2021-08-29,26160.0
